"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2794184"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2794090"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2810761"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2805998"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Lietuvos Respublika","Miestas ir kaimas","asmenys","2860002"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","810538"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","820511"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","810797"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","817950"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Sostinės regionas","Miestas ir kaimas","asmenys","851346"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","810538"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","820511"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","810797"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","817950"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus apskritis","Miestas ir kaimas","asmenys","851346"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Elektrėnų sav.","Miestas ir kaimas","asmenys","23687"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Elektrėnų sav.","Miestas ir kaimas","asmenys","23984"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Elektrėnų sav.","Miestas ir kaimas","asmenys","23376"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Elektrėnų sav.","Miestas ir kaimas","asmenys","23521"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Elektrėnų sav.","Miestas ir kaimas","asmenys","23873"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","31031"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30521"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30052"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29699"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29342"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15355"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15072"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15023"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","14889"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","14816"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","23392"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22929"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22966"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22478"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22265"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32558"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32541"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32042"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","32322"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","33437"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","33928"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","33482"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34553"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34028"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Ukmergės r. sav.","Miestas ir kaimas","asmenys","34038"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","552131"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","561836"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","556490"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","563012"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus m. sav.","Miestas ir kaimas","asmenys","591632"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","98456"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","100146"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","96295"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","98001"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilniaus r. sav.","Miestas ir kaimas","asmenys","101943"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1983646"
