City,ATMs per 10k
Klaipėda,4.73
Akmenė,4.38
Šiauliai,4.7
Panevėžys,5.0
Alytus,4.44
Kazlų Rūda,5.45
Palanga,7.72
Mažeikiai,5.41
Vilnius,4.54
Anykščiai,8.1
Ariogala,3.82
Švenčionys,6.7
Birštonas,6.46
Biržai,7.66
Druskininkai,7.59
Elektrėnai,5.11
Gargždai,5.65
Garliava,3.96
Grigiškės,2.05
Ignalina,10.0
Jonava,5.16
Joniškis,7.09
Jurbarkas,5.68
Kaišiadorys,10.48
Kalvarija,7.45
Kaunas,4.59
Kėdainiai,7.25
Kelmė,6.66
Kybartai,4.98
Kretinga,5.81
Kupiškis,9.71
Lazdijai,10.27
Kuršėnai,5.63
Lentvaris,4.13
Marijampolė,5.71
Molėtai,10.38
Nemenčinė,4.36
Naujoji Akmenė,4.9
Pabradė,6.34
Pakruojis,8.91
Plungė,6.9
Priekulė,7.99
Prienai,6.75
Radviliškis,4.63
Pasvalys,9.36
Raseiniai,9.22
Rietavas,6.15
Rokiškis,6.89
Salantai,7.99
Skuodas,9.35
Šakiai,9.19
Šalčininkai,7.31
Šeduva,4.23
Šilalė,10.64
Šilutė,6.17
Širvintos,8.62
Tauragė,5.6
Telšiai,5.39
Tytuvėnai,5.64
Trakai,10.15
Ukmergė,5.23
Utena,6.64
Varėna,7.46
Veisiejai,9.49
Venta,4.64
Vievis,7.12
Vilkaviškis,7.77
Vilkija,11.56
Visaginas,4.6
Zarasai,6.73
Žagarė,8.02
Neringa,2.49
Pagėgiai,13.01
Eišiškės,3.54
Švenčionėliai,4.34
Skaudvilė,7.3
Ežerėlis,6.32
Gelgaudiškis,6.57
Jieznas,9.77
Kudirkos Naumiestis,7.52
Ramygala,8.35
Rūdiškės,5.15
Simnas,8.39
Viekšniai,4.59
Žiežmariai,3.3
Linkuva,8.22
