Laikotarpis,Rodiklis,Miestas,Matavimo vienetai,Reikšmė
2023,Nuolatinių gyventojų skaičius metų pradžioje,Vilnius,asmenys,581475
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kaunas,asmenys,305120
2023,Nuolatinių gyventojų skaičius metų pradžioje,Klaipėda,asmenys,158420
2023,Nuolatinių gyventojų skaičius metų pradžioje,Šiauliai,asmenys,104300
2023,Nuolatinių gyventojų skaičius metų pradžioje,Panevėžys,asmenys,87913
2023,Nuolatinių gyventojų skaičius metų pradžioje,Alytus,asmenys,51856
2023,Nuolatinių gyventojų skaičius metų pradžioje,Marijampolė,asmenys,36807
2023,Nuolatinių gyventojų skaičius metų pradžioje,Mažeikiai,asmenys,33249
2023,Nuolatinių gyventojų skaičius metų pradžioje,Jonava,asmenys,27134
2023,Nuolatinių gyventojų skaičius metų pradžioje,Utena,asmenys,25608
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kėdainiai,asmenys,23447
2023,Nuolatinių gyventojų skaičius metų pradžioje,Telšiai,asmenys,22261
2023,Nuolatinių gyventojų skaičius metų pradžioje,Visaginas,asmenys,19586
2023,Nuolatinių gyventojų skaičius metų pradžioje,Tauragė,asmenys,21416
2023,Nuolatinių gyventojų skaičius metų pradžioje,Ukmergė,asmenys,21048
2023,Nuolatinių gyventojų skaičius metų pradžioje,Plungė,asmenys,17385
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kretinga,asmenys,17207
2023,Nuolatinių gyventojų skaičius metų pradžioje,Šilutė,asmenys,16200
2023,Nuolatinių gyventojų skaičius metų pradžioje,Radviliškis,asmenys,15112
2023,Nuolatinių gyventojų skaičius metų pradžioje,Palanga,asmenys,18132
2023,Nuolatinių gyventojų skaičius metų pradžioje,Druskininkai,asmenys,13170
2023,Nuolatinių gyventojų skaičius metų pradžioje,Rokiškis,asmenys,11606
2023,Nuolatinių gyventojų skaičius metų pradžioje,Juodupė,asmenys,
2023,Nuolatinių gyventojų skaičius metų pradžioje,Gargždai,asmenys,15932
2023,Nuolatinių gyventojų skaičius metų pradžioje,Biržai,asmenys,10444
2023,Nuolatinių gyventojų skaičius metų pradžioje,Elektrėnai,asmenys,11753
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kuršėnai,asmenys,10651
2023,Nuolatinių gyventojų skaičius metų pradžioje,Jurbarkas,asmenys,10571
2023,Nuolatinių gyventojų skaičius metų pradžioje,Garliava,asmenys,10110
2023,Nuolatinių gyventojų skaičius metų pradžioje,Vilkaviškis,asmenys,10291
2023,Nuolatinių gyventojų skaičius metų pradžioje,Raseiniai,asmenys,9763
2023,Nuolatinių gyventojų skaičius metų pradžioje,Lentvaris,asmenys,9680
2023,Nuolatinių gyventojų skaičius metų pradžioje,Anykščiai,asmenys,8638
2023,Nuolatinių gyventojų skaičius metų pradžioje,Naujoji Akmenė,asmenys,8170
2023,Nuolatinių gyventojų skaičius metų pradžioje,Grigiškės,asmenys,9750
2023,Nuolatinių gyventojų skaičius metų pradžioje,Prienai,asmenys,8894
2023,Nuolatinių gyventojų skaičius metų pradžioje,Joniškis,asmenys,8466
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kelmė,asmenys,7512
2023,Nuolatinių gyventojų skaičius metų pradžioje,Varėna,asmenys,8042
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kaišiadorys,asmenys,8590
2023,Nuolatinių gyventojų skaičius metų pradžioje,Pasvalys,asmenys,6411
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kupiškis,asmenys,6178
2023,Nuolatinių gyventojų skaičius metų pradžioje,Zarasai,asmenys,5942
2023,Nuolatinių gyventojų skaičius metų pradžioje,Skuodas,asmenys,5346
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kazlų Rūda,asmenys,5507
2023,Nuolatinių gyventojų skaičius metų pradžioje,Širvintos,asmenys,5802
2023,Nuolatinių gyventojų skaičius metų pradžioje,Molėtai,asmenys,5783
2023,Nuolatinių gyventojų skaičius metų pradžioje,Šalčininkai,asmenys,6841
2023,Nuolatinių gyventojų skaičius metų pradžioje,Šakiai,asmenys,5440
2023,Nuolatinių gyventojų skaičius metų pradžioje,Švenčionėliai,asmenys,4613
2023,Nuolatinių gyventojų skaičius metų pradžioje,Pabradė,asmenys,4735
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kybartai,asmenys,4015
2023,Nuolatinių gyventojų skaičius metų pradžioje,Ignalina,asmenys,4998
2023,Nuolatinių gyventojų skaičius metų pradžioje,Šilalė,asmenys,4699
2023,Nuolatinių gyventojų skaičius metų pradžioje,Pakruojis,asmenys,4490
2023,Nuolatinių gyventojų skaičius metų pradžioje,Nemenčinė,asmenys,4582
2023,Nuolatinių gyventojų skaičius metų pradžioje,Švenčionys,asmenys,4480
2023,Nuolatinių gyventojų skaičius metų pradžioje,Trakai,asmenys,5912
2023,Nuolatinių gyventojų skaičius metų pradžioje,Vievis,asmenys,4214
2023,Nuolatinių gyventojų skaičius metų pradžioje,Kalvarija,asmenys,4025
2023,Nuolatinių gyventojų skaičius metų pradžioje,Lazdijai,asmenys,3895
2023,Nuolatinių gyventojų skaičius metų pradžioje,Rietavas,asmenys,3253
2023,Nuolatinių gyventojų skaičius metų pradžioje,Žiežmariai,asmenys,3034
2023,Nuolatinių gyventojų skaičius metų pradžioje,Eišiškės,asmenys,2822
2023,Nuolatinių gyventojų skaičius metų pradžioje,Ariogala,asmenys,2619
2023,Nuolatinių gyventojų skaičius metų pradžioje,Šeduva,asmenys,2365
2023,Nuolatinių gyventojų skaičius metų pradžioje,Tyruliai,asmenys,
2023,Nuolatinių gyventojų skaičius metų pradžioje,Venta,asmenys,2155
2023,Nuolatinių gyventojų skaičius metų pradžioje,Birštonas,asmenys,3094
